"","x"
"718","octahedral"
"719","operation"
"720","optical"
"721","orange"
"722","order"
"723","orderdisorder"
"724","ordered"
"725","ordering"
"726","orientation"
"727","orowan"
"728","orthoferrite"
"729","orthorhombic"
"730","ostwald"
"731","overaging"
"732","oxidation"
"733","oxide"
"734","oxynitride"
"735","packed"
"736","packet"
"737","packing"
"738","pair"
"739","parallel"
"740","paramagnetic"
"741","parameter"
"742","parameters"
"743","partial"
"744","partially"
"745","particle"
"746","particles"
"747","particlestimulated"
"748","path"
"749","pattern"
"750","peakrelaxation"
"751","pearlite"
"752","pearlitic"
"753","peel"
"754","peierls"
"755","pencil"
"756","perfect"
"757","period"
"758","peritectic"
"759","peritectoid"
"760","perovskite"
"761","phase"
"762","phasemesophase"
"763","phases"
"764","photoelectron"
"765","physical"
"766","physisorption"
"767","piezoelectric"
"768","pinning"
"769","pipe"
"770","pit"
"771","plain"
"772","planar"
"773","plane"
"774","plastic"
"775","plasticity"
"776","plate"
"777","point"
"778","pointtemperature"
"779","poissons"
"780","polar"
"781","polarizationfactor"
"782","polarizedlight"
"783","pole"
"784","polished"
"785","polychromatic"
"786","polycrystal"
"787","polycrystalline"
"788","polygonization"
"789","polygonized"
"790","polyhedron"
"791","polymorphic"
"792","polymorphiccrystallization"
"793","polymorphism"
"794","polytypism"
"795","porosity"
"796","portevinle"
"797","postdynamic"
"798","powder"
"799","power"
"800","precipitate"
"801","precipitated"
"802","precipitateparticle"
"803","precipitation"
"804","precipitationfree"
"805","preferred"
"806","preformed"
"807","preprecipitation"
"808","pressing"
"809","pressure"
"810","primary"
"811","primitive"
"812","prismatic"
"813","probable"
"814","probe"
"815","processing"
"816","proeutectoid"
"817","projection"
"818","promotes"
"819","property"
"820","pseudoplasticity"
"821","pyramidal"
"822","quantitative"
"823","quartz"
"824","quasicrystal"
"825","quasiisotropic"
"826","quench"
"827","quenchin"
"828","quenching"
"829","radial"
"830","radiation"
"831","radius"
"832","random"
"833","range"
"834","rate"
"835","ratio"
"836","rcenter"
"837","reaction"
"838","reciprocal"
"839","reconstructive"
"840","recovery"
"841","recrystallization"
"842","recrystallized"
"843","reference"
"844","refining"
"845","reflection"
"846","relationship"
"847","relative"
"848","relaxation"
"849","replica"
"850","residual"
"851","resistance"
"852","resolution"
"853","resolved"
"854","resolving"
"855","respectively"
"856","retained"
"857","retrograde"
"858","reversibility"
"859","reversible"
"860","reversion"
"861","rhombohedral"
"862","rigidity"
"863","ripening"
"864","rocking"
"865","rodrigues"
"866","roller"
"867","rolling"
"868","rorientation"
"869","rotating"
"870","rule"
"871","rulelaw"
"872","rules"
"873","rvalue"
"874","sachs"
"875","sample"
"876","samples"
"877","samplesection"
"878","saturated"
"879","sbsorientation"
"880","scanning"
"881","scatter"
"882","scattering"
"883","schmid"
"884","schmidslaw"
"885","schottky"
"886","screw"
"887","second"
"888","secondary"
"889","secondorder"
"890","see"
"891","seed"
"892","segregation"
"893","segregations"
"894","selected"
"895","selfdiffusion"
"896","selfsimilar"
"897","semicoherent"
"898","sense"
"899","sensitivity"
"900","sessile"
"901","shadowing"
"902","shallow"
"903","shape"
"904","sharp"
"905","shear"
"906","shearing"
"907","sheartype"
"908","sheet"
"909","shell"
"910","shift"
"911","ships"
"912","shockley"
"913","shortcircuit"
"914","shortrange"
"915","shrinkage"
"916","sialon"
"917","silica"
"918","simple"
"919","single"
"920","singlecrystal"
"921","singledomain"
"922","sink"
"923","sintering"
"924","site"
"925","sition"
"926","slip"
"927","smallangle"
"928","smectic"
"929","snoek"
"930","snoekköster"
"931","soaking"
"932","softening"
"933","solid"
"934","solidification"
"935","solidsolutionstrengtheninghardening"
"936","solidstate"
"937","solidus"
"938","solubility"
"939","solute"
"940","soluteimpurity"
"941","solution"
"942","solutions"
"943","solvent"
"944","solvus"
"945","sorbite"
"946","sorientation"
"947","sorption"
"948","source"
"949","space"
"950","spacing"
"951","special"
"952","specialgrainboundary"
"953","specific"
"954","spectrometry"
"955","spectroscopy"
"956","spectrum"
"957","sphalerite"
"958","sphere"
"959","spherical"
"960","spheroidite"
"961","spheroidization"
"962","spheroidized"
"963","spherulite"
"964","spinel"
"965","spinning"
"966","spinodal"
"967","splitting"
"968","spontaneous"
"969","spot"
"970","spread"
"971","sputtering"
"972","stability"
"973","stabilization"
"974","stabilized"
"975","stable"
"976","stacking"
"977","stackingfault"
"978","stage"
"979","stages"
"980","staining"
"981","stairrod"
"982","standard"
"983","standardhklprojection"
"984","start"
"985","state"
"986","static"
"987","steadystate"
"988","steel"
"989","stereographic"
"990","stereology"
"991","stoichiometrystoichiometric"
"992","stored"
"993","strain"
"994","strainaging"
"995","strainedlayer"
"996","strainhardening"
"997","straininduced"
"998","stranskikrastanov"
"999","strength"
"1000","strengthened"
"1001","strengthening"
"1002","strengtheninghardening"
"1003","stress"
"1004","stressassisted"
"1005","stressbarrier"
"1006","stressdeformation"
"1007","stresses"
"1008","stressinduced"
"1009","stressrelief"
"1010","stressstrain"
"1011","stretcherstrain"
"1012","stringers"
"1013","structural"
"1014","structure"
"1015","structureinsensitive"
"1016","structurelattice"
"1017","structuresensitive"
"1018","subboundary"
"1019","subcritical"
"1020","subgrain"
"1021","sublattice"
"1022","substitutional"
"1023","substructure"
"1024","supercooling"
"1025","superdislocation"
"1026","superheating"
"1027","superlattice"
"1028","superplasticity"
"1029","supersaturation"
"1030","superstructure"
"1031","surface"
"1032","surfaceenergy"
"1033","suzukiatmosphere"
"1034","symmetric"
"1035","symmetry"
"1036","system"
"1037","tallites"
"1038","tangle"
"1039","taylor"
"1040","temper"
"1041","temperature"
"1042","tempered"
"1043","tempering"
"1044","tensile"
"1045","tension"
"1046","terminal"
"1047","ternary"
"1048","tertiary"
"1049","tetragonal"
"1050","tetragonality"
"1051","tetrahedral"
"1052","tetrahedralvoid"
"1053","tetrakaidecahedron"
"1054","texture"
"1055","theoretical"
"1056","theory"
"1057","thermal"
"1058","thermally"
"1059","thermodynamic"
"1060","thermoelastic"
"1061","thermomagnetic"
"1062","thermomechanical"
"1063","thickness"
"1064","thin"
"1065","thomsonfreundlich"
"1066","tie"
"1067","tilt"
"1068","time"
"1069","timetemperaturetransformation"
"1070","tinting"
"1071","tion"
"1072","titanium"
"1073","topography"
"1074","torque"
"1075","toughening"
"1076","trace"
"1077","transcrystalline"
"1078","transcrystallization"
"1079","transformation"
"1080","transformationtransition"
"1081","transgranular"
"1082","transient"
"1083","transientphase"
"1084","transition"
"1085","transitiontransformation"
"1086","translation"
"1087","transmission"
"1088","transus"
"1089","treatable"
"1090","treatment"
"1091","triangle"
"1092","tridymite"
"1093","trigonal"
"1094","triple"
"1095","trostite"
"1096","true"
"1097","tunneling"
"1098","tures"
"1099","twin"
"1100","twinned"
"1101","twinning"
"1102","twist"
"1103","twophase"
"1104","type"
"1105","ultrafine"
"1106","undercooling"
"1107","undercoolingsupercooling"
"1108","unit"
"1109","unsaturated"
"1110","uphill"
"1111","upon"
"1112","upper"
"1113","vacancies"
"1114","vacancy"
"1115","vacuum"
"1116","valence"
"1117","value"
"1118","van"
"1119","vector"
"1120","vegards"
"1121","vermicular"
"1122","vicinal"
"1123","viscoelasticity"
"1124","vitreous"
"1125","vitrification"
"1126","void"
"1127","vol"
"1128","volume"
"1129","vv0"
"1130","wagnerlifshitzslyozov"
"1131","wall"
"1132","warm"
"1133","warrenaverbach"
"1134","wavelength"
"1135","weakbeam"
"1136","wedge"
"1137","weiss"
"1138","welldefined"
"1139","whereγxαyandβz"
"1140","whisker"
"1141","white"
"1142","widmannstätten"
"1143","width"
"1144","worked"
"1145","wulff"
"1146","wurzite"
"1147","xray"
"1148","xraystructureanalysis"
"1149","y2o3"
"1150","yield"
"1151","yielding"
"1152","youngs"
"1153","zener"
"1154","zero"
"1155","zirconiatoughened"
"1156","zns"
"1157","zonal"
"1158","zone"
"1159","αfe"
"1160","αmartensite"
"1161","αphase"
"1162","αstabilizer"
"1163","αti"
"1164","βal2o3"
"1165","βphase"
"1166","βstabilizer"
"1167","βti"
"1168","γfe"
"1169","γgb"
"1170","γphase"
"1171","δfe"
"1172","δferrite"
"1173","εcarbide"
"1174","εmartensite"
"1175","ηcarbide"
"1176","σplot"
"1177","τth"
"1178","χcarbide"
"1179","ωphase"
